,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,1045.0,1045,1045,1045,1045.0,1045,1045,1045,1045,1045,1045.0,1045,1045.0,1045.0,1045.0,1045,1045.0,1045,1045,1045.0,1045.0,981,941,1045,1045,935,1045.0,1045,78,124,38,4.0,0.0,16.0,21.0,38.0,1045.0,1045.0,1045,0.0,1045
unique,,1,1,1,,59,1,2,2,2,,3,,,,59,,30,1,,,532,520,448,261,449,,8,33,69,22,,0.0,,,,,,256,0.0,256
top,,successful,google,selenium,,2018-01-08 02:21:15.779251,localhost,44.109601,-73.778431,"12943, Keene Valley, NY",,top_loans,,,,"About 3,780,000 results (0.46 seconds) ",,student loan,,,,Progressive: Ranked One Of The Best Insurance Companies,Get insurance online from Progressive. Join today for quality protection that 4 out of 5 would recommend. Get insurance for just about anything you need.,,b'',www.progressive.com/,,results," Rating: 4.3 - ?1,609 reviews",?Personal Loans – LendingClub · ?Personal Loans Rates & Fees · ?Credit Card Payoff,"People also askHow soon can you get symptoms of pregnancy?Pregnancy symptoms at 4 weeks. Normally you get your period about 4 weeks from the start of your last period, but if you're pregnant, the clearest sign at this point is a missed period. Many women still feel fine at 4 weeks, but others may notice sore breasts, fatigue, frequent urination, and nausea.Early signs of pregnancy: When will I feel symptoms? | BabyCenterhttps://www.babycenter.com/404_early-signs-of-pregnancy-when-will-i-feel-symptoms_...Search for: How soon can you get symptoms of pregnancy?How soon can you take a home pregnancy test?You should wait to take a pregnancy test until the week after your missed period for the most accurate result. If you don't want to wait until you've missed your period, you should wait at least one to two weeks after you had sex. If you are pregnant, your body needs time to develop detectable levels of HCG.Mar 8, 2017When You Should Take a Pregnancy Test - Healthlinehttps://www.healthline.com/health/pregnancy/five-signs-to-take-pregnancy-testSearch for: How soon can you take a home pregnancy test?What are the very early signs of pregnancy?If you are pregnant, visit our Newly Pregnant area for a quick overview of what's in store.Food aversions. ... Mood swings. ... Abdominal bloating. ... Frequent urination. ... Fatigue. ... Sore breasts. ... Light bleeding or spotting. ... Nausea.More items...Pregnancy symptoms: Top 11 early signs of pregnancy | BabyCenterhttps://www.babycenter.com/pregnancy-symptomsSearch for: What are the very early signs of pregnancy?What is the very first sign of pregnancy?This can cause one of the earliest signs of pregnancy -- spotting and, sometimes, cramping. That's called implantation bleeding. It occurs anywhere from six to 12 days after the egg is fertilized. The cramps resemble menstrual cramps, so some women mistake them and the bleeding for the start of their period.Oct 10, 2016Pregnancy Symptoms: Early Signs That You Might Be Pregnanthttps://www.webmd.com/baby/guide/pregnancy-am-i-pregnantSearch for: What is the very first sign of pregnancy?",,,,,,,,b'',,b''_nan
freq,,1045,1045,1045,,30,1045,537,537,537,,401,,,,30,,60,1045,,,5,5,63,63,10,,631,4,4,2,,,,,,,,63,,63
mean,28.467942583732057,,,,1.0,,,,,,0.0,,6.0,42035.55406698565,0.29003629494306393,,19.220095693779903,,,0.0,523.0,,,,,,4.504306220095693,,,,,1.0,,1.0,1.0,1.0,28.467942583732057,14.615311004784688,,,
std,16.847586320428395,,,,0.0,,,,,,0.0,,0.0,11029.531049532488,0.16280204358743589,,5.202727142819851,,,0.0,301.8098187048703,,,,,,3.3142023742378597,,,,,0.0,,0.0,0.0,0.0,16.847586320428395,8.599171027493286,,,
min,1.0,,,,1.0,,,,,,0.0,,6.0,30701.0,0.122731941116,,9.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
25%,14.0,,,,1.0,,,,,,0.0,,6.0,30701.0,0.122731941116,,16.0,,,0.0,262.0,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,14.0,7.0,,,
50%,28.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,19.0,,,0.0,523.0,,,,,,3.0,,,,,1.0,,1.0,1.0,1.0,28.0,14.0,,,
75%,43.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,23.0,,,0.0,784.0,,,,,,7.0,,,,,1.0,,1.0,1.0,1.0,43.0,22.0,,,
max,59.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,30.0,,,0.0,1045.0,,,,,,13.0,,,,,1.0,,1.0,1.0,1.0,59.0,30.0,,,
