,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,13046.0,13046,13046,13046,13046.0,13046,13046,13046,13046,13046,13046.0,13046,13046.0,13046.0,13046.0,13046,13046.0,13046,13046,13046.0,13046.0,11984,11686,13046,13046,11897,13046.0,13046,956,1145,697,119.0,0.0,223.0,259.0,697.0,13046.0,13046.0,13046,0.0,13046
unique,,1,1,1,,785,1,20,20,20,,3,,,,488,,40,1,,,1674,1604,1068,490,1022,,8,66,167,76,,0.0,,,,,,474,0.0,474
top,,successful,google,selenium,,2018-01-12 03:22:35.760590,localhost,40.659871,-74.308696,"07016, Cranford, NJ",,med_sample_first_20,,,,0,,life insurance,,,,Excessive Sweating: Medical Causes - WebMD,Get insurance online from Progressive. Join today for quality protection that 4 out of 5 would recommend. Get insurance for just about anything you need.,,b'',Zing! Blog by Quicken Loans,,results,by GW Cole - ?Related articles,Free shipping,"Shortly after exposure to sunlight a person's skin around the chest and arms becomes red and itchy, and it can take up to a week for the symptoms to resolve. ... A more dramatic 'sun allergy' produces not just a rash, but large hives on sun-exposed skin - this super-rare condition is called solar urticaria.Jan 1, 2016Here's why some of us develop an allergy to sunlight - ScienceAlerthttps://www.sciencealert.com/here-s-what-happens-if-you-develop-an-allergy-to-sunlight",,,,,,,,b'',,b''_nan
freq,,13046,13046,13046,,27,13046,693,693,693,,5248,,,,268,,474,13046,,,58,50,757,757,140,,8656,40,58,20,,,,,,,,757,,757
mean,353.1927027441361,,,,1.0,,,,,,0.0,,3.522995554192856,46484.04997700445,0.4372586907717331,,17.794573049210484,,,0.0,6523.5,,,,,,4.7946497010577955,,,,,1.0,,1.0,1.0,1.0,353.1927027441361,18.483443200981142,,,
std,225.70837538785014,,,,0.0,,,,,,0.0,,2.499990054924616,11126.574757444476,0.1881077930429634,,4.459531897291225,,,0.0,3766.200140725397,,,,,,3.4169202963971115,,,,,0.0,,0.0,0.0,0.0,225.70837538785014,11.516535094593204,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,31532.0,0.130454545455,,10.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
25%,156.0,,,,1.0,,,,,,0.0,,1.0,37759.0,0.242793791574,,14.0,,,0.0,3262.25,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,156.0,8.0,,,
50%,328.0,,,,1.0,,,,,,0.0,,6.0,45610.0,0.474949502489,,18.0,,,0.0,6523.5,,,,,,4.0,,,,,1.0,,1.0,1.0,1.0,328.0,17.0,,,
75%,547.0,,,,1.0,,,,,,0.0,,6.0,50250.0,0.603060938509,,21.0,,,0.0,9784.75,,,,,,7.0,,,,,1.0,,1.0,1.0,1.0,547.0,28.0,,,
max,785.0,,,,1.0,,,,,,0.0,,6.0,75619.0,0.7931424750689999,,27.0,,,0.0,13046.0,,,,,,14.0,,,,,1.0,,1.0,1.0,1.0,785.0,40.0,,,
