,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_full_domain_frac_www.bbc.com,100,100,0.004,0.0,inf,low-income
1,*results_full_domain_frac_norml.org,100,100,0.004,0.0,inf,low-income
2,*results_full_domain_frac_www.investopedia.com,100,100,0.001,0.007,9.0,high-income
3,*results_full_domain_frac_doh.dc.gov,100,100,0.0,0.005,inf,high-income
4,*results_full_domain_frac_www.amnestyusa.org,100,100,0.0,0.005,inf,high-income
5,**results_full_domain_frac_MapsLocations,100,100,0.0,0.015,inf,high-income
6,*results_full_domain_frac_www.academy.com,100,100,0.009,0.0,inf,low-income
7,*top_ads_full_domain_frac_www.retroreport.org,76,58,0.014,0.0,inf,low-income
8,*top_ads_full_domain_frac_www.latinainstitute.org,76,58,0.0,0.023,inf,high-income
9,*top_ads_full_domain_frac_www.caron.org,76,58,0.079,0.0,inf,low-income
10,*top_ads_full_domain_frac_www.allieded.org,76,58,0.031,0.0,inf,low-income
11,*top_ads_full_domain_frac_www.heartlandalliance.org,76,58,0.026,0.0,inf,low-income
