,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,query,winner
0,0.092,*results_full_domain_frac_wikipedia.org,10,10,0.09662698412698413,0.143,0.05,2.83,,20,low-income,high-income,0.0015675225759745062,Honda,low-income
1,,results_full_domain_frac_wikipedia.org,10,10,0.07692307692307691,0.077,0.077,,1.0,20,low-income,high-income,,minimum wage,
2,0.002,results_full_domain_frac_wikipedia.org,10,10,0.18272727272727268,0.184,0.182,1.01,,20,low-income,high-income,0.34343639613791066,gomer pyle,low-income
3,,results_full_domain_frac_wikipedia.org,10,10,0.08333333333333331,0.083,0.083,,1.0,20,low-income,high-income,,michael flynn,
4,,results_full_domain_frac_wikipedia.org,10,10,0.07692307692307691,0.077,0.077,,1.0,20,low-income,high-income,,US Senate,
5,0.072,*results_full_domain_frac_wikipedia.org,10,10,0.04508477633477633,0.081,0.009,8.92,,20,low-income,high-income,0.0037779274888723796,Pizza Hut,low-income
6,0.058,*results_full_domain_frac_wikipedia.org,10,10,0.11601190476190475,0.145,0.087,1.67,,20,low-income,high-income,0.0165150008525132,Toyota,low-income
7,0.05,*results_full_domain_frac_wikipedia.org,10,10,0.025,0.05,0.0,inf,,20,low-income,high-income,0.03678749787978613,Domino's Pizza,low-income
8,0.006,**results_full_domain_frac_wikipedia.org,10,10,0.08012820512820511,0.083,0.077,1.08,,20,low-income,high-income,5.306670172466877e-260,medical marijuana,low-income
9,,results_full_domain_frac_wikipedia.org,10,10,0.125,0.125,0.125,,1.0,20,low-income,high-income,,animal testing,
10,,results_full_domain_frac_wikipedia.org,10,10,0.08333333333333331,0.083,0.083,,1.0,20,low-income,high-income,,matt lauer,
11,,results_full_domain_frac_wikipedia.org,10,10,0.07692307692307691,0.077,0.077,,1.0,20,low-income,high-income,,Hillary Clinton,
12,,results_full_domain_frac_wikipedia.org,10,10,0.0909090909090909,0.091,0.091,,1.0,20,low-income,high-income,,college football playoff,
13,0.032,results_full_domain_frac_wikipedia.org,10,10,0.13888888888888887,0.155,0.123,1.26,,20,low-income,high-income,0.17423798427591428,Chase Bank,low-income
14,,results_full_domain_frac_wikipedia.org,10,10,0.10000000000000002,0.1,0.1,,1.0,20,low-income,high-income,,gertrude jekyll,
15,0.043,*results_full_domain_frac_wikipedia.org,10,10,0.028846153846153844,0.051,0.007,7.08,,20,low-income,high-income,0.004710724739139718,eagles,low-income
16,0.001,results_full_domain_frac_wikipedia.org,10,10,0.07664835164835164,0.077,0.076,1.01,,20,low-income,high-income,0.34343639613791566,Barack Obama,low-income
17,0.073,**results_full_domain_frac_wikipedia.org,10,10,0.05454545454545454,0.091,0.018,5.0,,20,low-income,high-income,0.0002024993220676408,ryan shazier,low-income
18,,results_full_domain_frac_wikipedia.org,10,10,0.07692307692307691,0.077,0.077,,1.0,20,low-income,high-income,,gun control,
19,0.025,*results_full_domain_frac_wikipedia.org,10,10,0.12203463203463201,0.134,0.11,1.22,,20,low-income,high-income,0.0392389527150273,Chevrolet,low-income
20,,results_full_domain_frac_wikipedia.org,10,10,0.08333333333333331,0.083,0.083,,1.0,20,low-income,high-income,,Donald Trump,
21,,results_full_domain_frac_wikipedia.org,10,10,0.07692307692307691,0.077,0.077,,1.0,20,low-income,high-income,,death penalty,
22,,results_full_domain_frac_wikipedia.org,10,10,0.07692307692307691,0.077,0.077,,1.0,20,low-income,high-income,,euthanasia,
23,0.001,results_full_domain_frac_wikipedia.org,10,10,0.08108974358974357,0.081,0.081,1.01,,20,low-income,high-income,0.6600791471799359,al franken,high-income
24,,results_full_domain_frac_wikipedia.org,10,10,0.15238095238095237,0.152,0.152,,1.0,20,low-income,high-income,,United States Department of Veterans Affairs,
25,0.002,results_full_domain_frac_wikipedia.org,10,10,0.1419642857142857,0.141,0.143,1.01,,20,low-income,high-income,0.3434363961379151,US Supreme Court,high-income
26,,results_full_domain_frac_wikipedia.org,10,10,0.15384615384615383,0.154,0.154,,1.0,20,low-income,high-income,,illegal immigration,
27,0.021,results_full_domain_frac_wikipedia.org,10,10,0.11041666666666668,0.121,0.1,1.21,,20,low-income,high-income,0.09639291210356739,Bank of America,low-income
28,0.001,results_full_domain_frac_wikipedia.org,10,10,0.07724358974358973,0.078,0.077,1.01,,20,low-income,high-income,0.34343639613791466,abortion,low-income
29,0.016,results_full_domain_frac_wikipedia.org,10,10,0.0909090909090909,0.099,0.083,1.2,,20,low-income,high-income,0.11106688052097395,Target Corporation,low-income
30,0.017,results_full_domain_frac_wikipedia.org,10,10,0.06554487179487178,0.074,0.057,1.29,,20,low-income,high-income,0.38764850453600275,McDonald's,low-income
31,0.044,*results_full_domain_frac_wikipedia.org,10,10,0.08888888888888888,0.111,0.067,1.67,,20,low-income,high-income,0.03678749787978613,Wells Fargo,low-income
32,0.13,**results_full_domain_frac_facebook.com,10,10,0.07767857142857142,0.143,0.012,11.43,,20,low-income,high-income,2.520627370029976e-06,Honda,low-income
33,0.071,*results_full_domain_frac_facebook.com,10,10,0.08076659451659451,0.116,0.045,2.55,,20,low-income,high-income,0.0010232624528071982,Pizza Hut,low-income
34,,results_full_domain_frac_facebook.com,10,10,0.014285714285714285,0.014,0.014,,1.0,20,low-income,high-income,,Toyota,
35,0.077,*results_full_domain_frac_facebook.com,10,10,0.08849386724386725,0.127,0.05,2.53,,20,low-income,high-income,0.0013426016312328265,Domino's Pizza,low-income
36,0.008,results_full_domain_frac_facebook.com,10,10,0.12916666666666665,0.133,0.125,1.07,,20,low-income,high-income,0.16785065605707486,Amazon,low-income
37,0.023,results_full_domain_frac_facebook.com,10,10,0.011538461538461539,0.0,0.023,inf,,20,low-income,high-income,0.0811261888458405,Hillary Clinton,high-income
38,0.001,results_full_domain_frac_facebook.com,10,10,0.07664835164835164,0.077,0.076,1.01,,20,low-income,high-income,0.34343639613791566,Barack Obama,low-income
39,0.1,*results_full_domain_frac_facebook.com,10,10,0.05,0.1,0.0,inf,,20,low-income,high-income,0.0013229505842674947,Chevrolet,low-income
40,0.003,results_full_domain_frac_facebook.com,10,10,0.1140277777777778,0.115,0.113,1.02,,20,low-income,high-income,0.43617899148354367,Walmart,low-income
41,,results_full_domain_frac_facebook.com,10,10,0.08333333333333331,0.083,0.083,,1.0,20,low-income,high-income,,Donald Trump,
42,,results_full_domain_frac_facebook.com,10,10,0.15238095238095237,0.152,0.152,,1.0,20,low-income,high-income,,United States Department of Veterans Affairs,
43,0.01,*results_full_domain_frac_facebook.com,10,10,0.11597222222222223,0.121,0.111,1.09,,20,low-income,high-income,0.0013229505842674947,Bank of America,low-income
44,0.011,results_full_domain_frac_facebook.com,10,10,0.005555555555555555,0.011,0.0,inf,,20,low-income,high-income,0.34343639613791355,McDonald's,low-income
45,0.022,results_full_domain_frac_facebook.com,10,10,0.1,0.111,0.089,1.25,,20,low-income,high-income,0.1678506560570745,Wells Fargo,low-income
46,0.033,results_full_domain_frac_google.com,10,10,0.08940295815295814,0.106,0.073,1.46,,20,low-income,high-income,0.0754048008444499,Pizza Hut,low-income
47,0.025,results_full_domain_frac_google.com,10,10,0.0125,0.025,0.0,inf,,20,low-income,high-income,0.16785065605707492,Domino's Pizza,low-income
48,0.155,**results_full_domain_frac_google.com,10,10,0.07738095238095237,0.155,0.0,inf,,20,low-income,high-income,2.38126176892567e-11,Chase Bank,low-income
49,,results_full_domain_frac_google.com,10,10,0.08000000000000003,0.08,0.08,,1.0,20,low-income,high-income,,gertrude jekyll,
50,0.058,*results_full_domain_frac_google.com,10,10,0.051388888888888894,0.022,0.081,3.63,,20,low-income,high-income,0.021270955465374386,Walmart,high-income
51,0.021,results_full_domain_frac_google.com,10,10,0.11041666666666668,0.121,0.1,1.21,,20,low-income,high-income,0.09639291210356739,Bank of America,low-income
52,0.054,*results_full_domain_frac_google.com,10,10,0.03450854700854701,0.061,0.008,7.97,,20,low-income,high-income,0.03948104083522583,McDonald's,low-income
