,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,12950.0,12950,12950,12950,12950.0,12950,12950,12950,12950,12950,12950.0,12950,12950.0,12950.0,12950.0,12950,12950.0,12950,12950,12950.0,12950.0,12030,11613,12950,12950,11722,12950.0,12950,1067,1008,705,93.0,0.0,229.0,230.0,705.0,12950.0,12950.0,12950,423,12950
unique,,1,1,1,,800,1,20,20,20,,3,,,,492,,40,1,,,1630,1628,1187,482,988,,8,64,84,56,,0.0,,,,,,461,2,463
top,,successful,google,selenium,,2018-01-18 05:15:38.474736,localhost,40.731375,-74.078601,"07306, Jersey City, NJ",,med_sample_first_20,,,,0,,loan,,,,"This 30-Year-Old Couple Repaid $120,000 Of Student Loans In 3 Years",Personal Loans For Good Credit From Marcus by Goldman Sachs® - Apply Today!,,b'',Forbes,,results," Rating: 9.3/10 - ?21,344 reviews",Free shipping,"People also askIs profuse sweating a sign of a heart attack?Sweat Is Good Indicator Heart Attack May Be Coming. ... Time is of the essence during a heart attack, and doctors have urged people who experience common symptoms -- shortness of breath, cold sweats, nausea, lightheadedness, or discomfort in the chest, arm, neck or jaw -- to get to a hospital as quickly as possible.Nov 22, 2005Sweat Is Good Indicator Heart Attack May Be Coming -- ScienceDailyhttps://www.sciencedaily.com/releases/2005/11/051122183817.htmSearch for: Is profuse sweating a sign of a heart attack?What causes excessive sweating?Causes. If heavy sweating has no underlying medical cause, it's called primary hyperhidrosis. This type occurs when the nerves responsible for triggering your sweat glands become overactive and call for more perspiration even when it's not needed.Excessive sweating Causes - Mayo Clinichttps://www.mayoclinic.org/symptoms/excessive-sweating/basics/causes/sym-20050780Search for: What causes excessive sweating?What causes profuse sweating of the head?Hyperhidrosis disorder is a condition that results in excessive sweating. This sweating can occur in unusual situations, such as in cooler weather, or without any trigger at all. It can also be caused by other medical conditions, such as menopause or hyperthyroidism.Sep 13, 2017Hyperhidrosis Disorder (Excessive Sweating) - Healthlinehttps://www.healthline.com/health/hyperhidrosisSearch for: What causes profuse sweating of the head?What does too much sweating mean?Everyone sweats when it's hot outside, but people who have hyperhidrosis experience excessive sweating to the point that moisture may literally drip from their hands. Hyperhidrosis causes them to sweat profusely or when there's no reason to. ... Most times, excessive sweating is harmless.Sep 16, 2017What Causes Excessive Sweating? Primary and Secondary - WebMDhttps://www.webmd.com/skin-problems-and-treatments/hyperhidrosis-causes-11Search for: What does too much sweating mean?",,,,,,,,b'',tfo$,b''_nan
freq,,12950,12950,12950,,27,12950,667,667,667,,5201,,,,233,,511,12950,,,60,63,777,777,100,,8785,44,46,20,,,,,,,,777,403,777
mean,357.2738223938224,,,,1.0,,,,,,0.0,,3.505019305019305,46486.98216216216,0.41999477845761823,,17.645405405405405,,,0.0,6475.5,,,,,,4.812123552123552,,,,,1.0,,1.0,1.0,1.0,357.2738223938224,18.33915057915058,,,
std,229.54425681595984,,,,0.0,,,,,,0.0,,2.5000914918028845,8960.915700101548,0.21684200446859203,,5.065176420667798,,,0.0,3738.4873277837924,,,,,,3.4120786911867707,,,,,0.0,,0.0,0.0,0.0,229.54425681595984,11.469449091598742,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,25814.0,0.07867679928480001,,10.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
25%,158.0,,,,1.0,,,,,,0.0,,1.0,38056.0,0.179304192685,,12.0,,,0.0,3238.25,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,158.0,8.0,,,
50%,325.0,,,,1.0,,,,,,0.0,,6.0,47943.0,0.38726245505900003,,17.0,,,0.0,6475.5,,,,,,4.0,,,,,1.0,,1.0,1.0,1.0,325.0,17.0,,,
75%,555.75,,,,1.0,,,,,,0.0,,6.0,51788.0,0.611264385885,,23.0,,,0.0,9712.75,,,,,,7.0,,,,,1.0,,1.0,1.0,1.0,555.75,28.0,,,
max,800.0,,,,1.0,,,,,,0.0,,6.0,62117.0,0.7595943672050001,,27.0,,,0.0,12950.0,,,,,,13.0,,,,,1.0,,1.0,1.0,1.0,800.0,40.0,,,
