,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,12775.0,12775,12775,12775,12775.0,12775,12775,12775,12775,12775,12775.0,12775,12775.0,12775.0,12775.0,12775,12775.0,12775,12775,12775.0,12775.0,12009,11462,12775,12775,11704,12775.0,12775,1116,1008,771,60.0,1.0,191.0,219.0,771.0,12775.0,12775.0,12775,342,12775
unique,,1,1,1,,800,1,20,20,20,,3,,,,510,,40,1,,,1752,1578,1097,480,1016,,9,66,116,66,,,,,,,,454,2,456
top,,successful,google,selenium,,2018-01-17 14:37:03.258452,localhost,38.82588,-76.847272,"20772, Upper Marlboro, MD",,med_sample_first_20,,,,0,,loan,,,,Progressive: Ranked One Of The Best Insurance Companies,Get insurance online from Progressive. Join today for quality protection that 4 out of 5 would recommend. Get insurance for just about anything you need.,,b'',Forbes,,results," Rating: 9.3/10 - ?21,344 reviews",Free shipping,"People also askIs profuse sweating a sign of a heart attack?Sweat Is Good Indicator Heart Attack May Be Coming. ... Time is of the essence during a heart attack, and doctors have urged people who experience common symptoms -- shortness of breath, cold sweats, nausea, lightheadedness, or discomfort in the chest, arm, neck or jaw -- to get to a hospital as quickly as possible.Nov 22, 2005Sweat Is Good Indicator Heart Attack May Be Coming -- ScienceDailyhttps://www.sciencedaily.com/releases/2005/11/051122183817.htmSearch for: Is profuse sweating a sign of a heart attack?What causes excessive sweating?Causes. If heavy sweating has no underlying medical cause, it's called primary hyperhidrosis. This type occurs when the nerves responsible for triggering your sweat glands become overactive and call for more perspiration even when it's not needed.Excessive sweating Causes - Mayo Clinichttps://www.mayoclinic.org/symptoms/excessive-sweating/basics/causes/sym-20050780Search for: What causes excessive sweating?What causes profuse sweating of the head?Hyperhidrosis disorder is a condition that results in excessive sweating. This sweating can occur in unusual situations, such as in cooler weather, or without any trigger at all. It can also be caused by other medical conditions, such as menopause or hyperthyroidism.Sep 13, 2017Hyperhidrosis Disorder (Excessive Sweating) - Healthlinehttps://www.healthline.com/health/hyperhidrosisSearch for: What causes profuse sweating of the head?What does too much sweating mean?Everyone sweats when it's hot outside, but people who have hyperhidrosis experience excessive sweating to the point that moisture may literally drip from their hands. Hyperhidrosis causes them to sweat profusely or when there's no reason to. ... Most times, excessive sweating is harmless.Sep 16, 2017What Causes Excessive Sweating? Primary and Secondary - WebMDhttps://www.webmd.com/skin-problems-and-treatments/hyperhidrosis-causes-11Search for: What does too much sweating mean?",,,,,,,,b'',tfo$,b''_nan
freq,,12775,12775,12775,,27,12775,668,668,668,,5211,,,,238,,508,12775,,,53,52,654,654,120,,8825,46,62,20,,,,,,,,654,322,654
mean,361.35138943248535,,,,1.0,,,,,,0.0,,3.9285322896281802,50605.76258317025,0.4637975506604792,,17.2719373776908,,,0.0,6388.0,,,,,,4.893776908023483,,,,,1.0,1.0,1.0,1.0,1.0,361.35138943248535,18.54152641878669,,,
std,228.60917893708498,,,,0.0,,,,,,0.0,,2.1542547132075693,17108.84977920556,0.41338744979761455,,4.7631821612969745,,,0.0,3687.9691791915325,,,,,,3.4429395020253493,,,,,0.0,,0.0,0.0,0.0,228.60917893708498,11.430451229038422,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,20743.0,0.0314465408805,,9.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,165.0,,,,1.0,,,,,,0.0,,1.0,37856.0,0.049414824447300006,,12.0,,,0.0,3194.5,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,165.0,9.0,,,
50%,334.0,,,,1.0,,,,,,0.0,,5.0,48897.0,0.8506432381550001,,17.0,,,0.0,6388.0,,,,,,4.0,,,,,1.0,1.0,1.0,1.0,1.0,334.0,17.0,,,
75%,557.0,,,,1.0,,,,,,0.0,,6.0,67303.0,0.871675504931,,21.0,,,0.0,9581.5,,,,,,8.0,,,,,1.0,1.0,1.0,1.0,1.0,557.0,28.0,,,
max,800.0,,,,1.0,,,,,,0.0,,6.0,81294.0,0.928465918822,,27.0,,,0.0,12775.0,,,,,,15.0,,,,,1.0,1.0,1.0,1.0,1.0,800.0,40.0,,,
