,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,query,winner
0,0.018,results_and_knowledge_panel_full_domain_frac_google.com,10,10,0.03636363636363636,0.045,0.027,1.67,,20,low-income,high-income,0.38809613338586946,Wells Fargo,low-income
1,0.011,results_and_knowledge_panel_full_domain_frac_google.com,10,10,0.005555555555555555,0.011,0.0,inf,,20,low-income,high-income,0.34343639613791355,Chase Bank,low-income
2,0.015,results_and_knowledge_panel_full_domain_frac_google.com,10,10,0.08954545454545453,0.097,0.082,1.19,,20,low-income,high-income,0.1256540474282812,Bank of America,low-income
3,0.045,*results_and_knowledge_panel_full_domain_frac_google.com,10,10,0.06818181818181818,0.091,0.045,2.0,,20,low-income,high-income,0.014956363910414203,gertrude jekyll,low-income
4,0.016,results_and_knowledge_panel_full_domain_frac_google.com,10,10,0.07464646464646463,0.083,0.067,1.24,,20,low-income,high-income,0.38428365980732604,Pizza Hut,low-income
5,0.01,results_and_knowledge_panel_full_domain_frac_google.com,10,10,0.06954545454545454,0.075,0.065,1.15,,20,low-income,high-income,0.6021351664004148,Walmart,low-income
6,0.158,**results_and_knowledge_panel_full_domain_frac_google.com,10,10,0.07878787878787878,0.158,0.0,inf,,20,low-income,high-income,0.00024154422470980052,McDonald's,low-income
7,0.09,**results_and_knowledge_panel_full_domain_frac_google.com,10,10,0.04513888888888889,0.09,0.0,inf,,20,low-income,high-income,0.00020873526088911818,Domino's Pizza,low-income
8,0.001,results_and_knowledge_panel_full_domain_frac_facebook.com,10,10,0.0717032967032967,0.072,0.071,1.01,,20,low-income,high-income,0.34343639613791566,Barack Obama,low-income
9,0.027,results_and_knowledge_panel_full_domain_frac_facebook.com,10,10,0.07727272727272726,0.091,0.064,1.43,,20,low-income,high-income,0.08112618884584044,Wells Fargo,low-income
10,0.006,*results_and_knowledge_panel_full_domain_frac_facebook.com,10,10,0.09409090909090907,0.097,0.091,1.07,,20,low-income,high-income,0.0013229505842674986,Bank of America,low-income
11,0.001,results_and_knowledge_panel_full_domain_frac_facebook.com,10,10,0.07664835164835164,0.077,0.076,1.01,,20,low-income,high-income,0.34343639613791566,Donald Trump,low-income
12,0.008,results_and_knowledge_panel_full_domain_frac_facebook.com,10,10,0.08873737373737371,0.093,0.085,1.09,,20,low-income,high-income,0.48343766286978274,Pizza Hut,low-income
13,0.007,results_and_knowledge_panel_full_domain_frac_facebook.com,10,10,0.0035714285714285713,0.007,0.0,inf,,20,low-income,high-income,0.34343639613791355,Toyota,low-income
14,0.007,results_and_knowledge_panel_full_domain_frac_facebook.com,10,10,0.003333333333333333,0.007,0.0,inf,,20,low-income,high-income,0.34343639613791355,eagles,low-income
