GEOID,POP_ESTIMATE_2016
25025,"784,230"
25027,"819,589"
26000,"9,928,300"
26001,"10,352"
26003,"9,219"
26005,"115,548"
26007,"28,704"
26009,"23,144"
26011,"15,122"
26013,"8,503"
26015,"59,702"
26017,"104,747"
26019,"17,572"
26021,"154,010"
26023,"43,427"
26025,"134,386"
26027,"51,599"
26029,"26,174"
26031,"25,401"
26033,"37,724"
26035,"30,358"
26037,"77,888"
26039,"13,744"
26041,"36,202"
26043,"25,535"
26045,"109,160"
26047,"33,182"
26049,"408,615"
26051,"25,122"
26053,"15,243"
26055,"92,084"
26057,"41,202"
26059,"45,774"
26061,"36,555"
26063,"31,481"
26065,"288,051"
26067,"64,232"
26069,"25,327"
26071,"11,195"
26073,"71,282"
26075,"158,460"
26077,"261,654"
26079,"17,263"
26081,"642,173"
26083,"2,199"
26085,"11,496"
26087,"88,340"
26089,"21,765"
26091,"98,504"
26093,"188,624"
26095,"6,358"
26097,"10,820"
26099,"867,730"
26101,"24,373"
26103,"66,435"
26105,"28,876"
26107,"43,221"
26109,"23,281"
26111,"83,462"
26113,"15,102"
26115,"149,208"
26117,"62,974"
26119,"9,173"
26121,"173,408"
26123,"47,938"
26125,"1,243,970"
26127,"26,027"
26129,"20,904"
26131,"5,911"
26133,"23,110"
26135,"8,264"
26137,"24,470"
26139,"282,250"
26141,"12,762"
26143,"23,700"
26145,"192,326"
26147,"159,587"
26149,"60,853"
26151,"41,409"
26153,"8,001"
26155,"68,554"
26157,"53,338"
26159,"75,223"
26161,"364,709"
26163,"1,749,366"
26165,"33,163"
27000,"5,519,952"
27001,"15,583"
27003,"345,957"
27005,"33,734"
27007,"46,106"
27009,"39,992"
27011,"5,050"
27013,"66,441"
27015,"25,331"
27017,"35,738"
27019,"100,262"
27021,"28,993"
27023,"12,133"
27025,"54,748"
27027,"62,875"
27029,"8,827"
27031,"5,286"
27033,"11,470"
27035,"63,940"
27037,"417,486"
27039,"20,506"
27041,"37,456"
27043,"13,935"
27045,"21,003"
27047,"30,446"
27049,"46,676"
27051,"5,956"
27053,"1,232,483"
27055,"18,814"
27057,"20,718"
27059,"39,025"
27061,"45,242"
27063,"9,944"
27065,"15,830"
27067,"42,495"
27069,"4,333"
27071,"12,628"
27073,"6,715"
27075,"10,625"
27077,"3,814"
27079,"27,591"
27081,"5,783"
27083,"25,699"
27085,"35,842"
27087,"5,465"
27089,"9,324"
27091,"19,829"
27093,"23,110"
27095,"25,866"
27097,"32,821"
27099,"39,163"
27101,"8,329"
27103,"33,575"
27105,"21,848"
27107,"6,579"
27109,"153,102"
27111,"58,085"
27113,"14,235"
27115,"28,874"
27117,"9,202"
27119,"31,660"
27121,"11,049"
27123,"540,649"
27125,"4,007"
27127,"15,263"
27129,"14,660"
27131,"65,622"
27133,"9,564"
27135,"15,626"
27137,"199,980"
27139,"143,680"
27141,"93,528"
27143,"14,827"
27145,"155,652"
27147,"36,805"
27149,"9,693"
27151,"9,419"
27153,"24,233"
27155,"3,356"
27157,"21,273"
27159,"13,761"
27161,"18,911"
27163,"253,117"
27165,"10,908"
27167,"6,358"
27169,"50,948"
27171,"132,550"
27173,"9,935"
28000,"2,988,726"
28001,"31,248"
28003,"37,304"
28005,"12,458"
28007,"18,934"
28009,"8,264"
28011,"32,737"
28013,"14,610"
28015,"10,255"
28017,"17,246"
28019,"8,242"
28021,"9,139"
28023,"15,888"
28025,"19,850"
28027,"23,809"
28029,"28,482"
28031,"19,569"
28033,"175,611"
28035,"75,979"
28037,"7,782"
28039,"23,695"
28041,"13,408"
28043,"21,275"
28045,"46,791"
28047,"203,234"
28049,"241,229"
28051,"17,999"
28053,"8,513"
28055,"1,294"
28057,"23,529"
28059,"141,241"
28061,"16,578"
28063,"7,297"
28065,"11,385"
28067,"67,953"
28069,"9,896"
28071,"53,796"
28073,"60,914"
28075,"77,755"
28077,"12,749"
28079,"22,620"
28081,"85,381"
28083,"29,856"
28085,"34,523"
28087,"59,602"
28089,"105,114"
28091,"25,251"
28093,"35,801"
28095,"35,873"
28097,"10,187"
28099,"29,403"
28101,"21,558"
28103,"11,038"
28105,"49,833"
28107,"34,164"
28109,"55,310"
28111,"12,245"
28113,"39,667"
28115,"31,550"
28117,"25,256"
28119,"7,349"
28121,"150,228"
28123,"28,207"
28125,"4,552"
28127,"26,912"
28129,"15,909"
28131,"18,012"
28133,"26,407"
28135,"14,394"
28137,"28,201"
28139,"22,190"
28141,"19,491"
28143,"10,234"
28145,"28,311"
28147,"14,599"
28149,"47,140"
28151,"47,231"
28153,"20,480"
28155,"9,767"
28157,"9,047"
28159,"18,160"
28161,"12,471"
28163,"27,264"
29000,"6,093,000"
29001,"25,359"
29003,"17,350"
29005,"5,293"
29007,"26,021"
29009,"35,732"
29011,"11,908"
29013,"16,417"
29015,"18,839"
29017,"12,052"
29019,"176,594"
29021,"88,938"
29023,"42,739"
29025,"9,062"
29027,"45,078"
29029,"44,497"
29031,"78,913"
29033,"8,913"
29035,"6,168"
29037,"102,845"
29039,"14,016"
29041,"7,516"
29043,"84,401"
29045,"6,723"
29047,"239,085"
29049,"20,610"
29051,"76,631"
29053,"17,712"
