Sample produced on 2018-01-15 17:28:43.630909,,,,,,,,,,,,,,,,,,,,
Samples come from the following dbs: ['dbs\\urban-rural_10_all.db', 'dbs\\urban-rural_10_extra.db'],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
link,snippet,bio,location,verified,follower_count,Shows Creative Effort (t),No Creative Effort (f),Created outside professional practice (t),Not created outside professional practice (f),,individual (i),organization (o),bot (b),,nonprofit (n),celebrity (c),corporate ($),journalistic (j),political (p),other (z)
https://www.facebook.com/progressive/,"Progressive, Mayfield, Ohio. 439257 likes · 6133 talking about this. More than 18 million people trust Progressive for auto insurance, and that makes...",,,,,,,,,,,,,,,,,,,
https://www.facebook.com/DonaldTrump/,"Donald J. Trump, New York, NY. 23011009 likes · 1291503 talking about this. This is the official Facebook page for Donald J. Trump.",,,,,,,,,,,,,,,,,,,
https://www.facebook.com/QuickenLoans/,Quicken Loans. 349K likes. Call (888) 728-4702 or text “AMAZE” to 26293 www.QuickenLoans.com NMLS #3030 | NMLS Access: http://po.st/NMLS.,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/hillaryclinton/,"Hillary Clinton. 9.9M likes. Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, presidential candidate.",,,,,,,,,,,,,,,,,,,
https://www.facebook.com/Dominos/,Domino's Pizza. 18552243 likes · 61237 talking about this · 486587 were here. Domino's is the recognized world leader in pizza delivery. Need help?...,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/barackobama/,"Barack Obama, Washington, DC. 55M likes. Dad, husband, former President, citizen.",,,,,,,,,,,,,,,,,,,
https://www.facebook.com/McDonalds/,"McDonald's, Oak Brook, IL. 75M likes. Learn about McDonald's history, our food, our people & news from around the world. http://twitter.com/mcdonaldscorp...",,,,,,,,,,,,,,,,,,,
https://www.facebook.com/walmart/,"Walmart, Bentonville, AR. 33M likes. “If we work together, we'll lower the cost of living for everyone…we'll give the world an opportunity to see what...",,,,,,,,,,,,,,,,,,,
https://www.facebook.com/BankofAmerica/,"Bank of America. 2850012 likes · 5573 talking about this. Community. News. Service and support. Before joining the conversation, please review our...",,,,,,,,,,,,,,,,,,,
https://www.facebook.com/PizzaHut/,"Pizza Hut. 31M likes. From our modest beginnings in 1958, we've grown to become the largest pizza company in the world.",,,,,,,,,,,,,,,,,,,
