,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,12594.0,12594,12594,12594,12594.0,12594,12594,12594,12594,12594,12594.0,12594,12594.0,12594.0,12594.0,12594,12594.0,12594,12594,12594.0,12594.0,11668,11382,12594,12594,11418,12594.0,12594,1085,1087,708,99.0,1.0,231.0,123.0,708.0,12594.0,12594.0,12594,0.0,12594
unique,,1,1,1,,782,1,20,20,20,,3,,,,523,,40,1,,,1486,1476,994,449,906,,9,60,127,84,,,,,,,,428,0.0,428
top,,successful,google,selenium,,2018-01-12 19:33:29.035740,localhost,40.565283,-74.911969,"Franklin, New Jersey",,med_sample_first_20,,,,0,,loan,,,,"Salivary Gland Stones: Symptoms, Causes, and Treatment - WebMD",Personal Loans For Good Credit From Marcus by Goldman Sachs® - Apply Today!,,b'',CNBC.com,,results," Rating: 9.3/10 - ?21,075 reviews",Free shipping,"www.mayoclinic.org{""clt"":""n"",""ct"":3,""id"":""cObv66DV7KXSfM:"",""ml"":{""0"":{""bh"":160,""bw"":129}},""oh"":576,""ou"":""https://www.mayoclinic.org/-/media/kcms/gbs/patient-consumer/images/2016/06/17/14/27/d7_digestivesystem-6col.jpg"",""ow"":468,""pt"":""https://www.mayoclinic.org/-/media/kcms/gbs/patien..."",""rh"":""mayoclinic.org"",""rid"":""49Ba7VeMacOGcM"",""rmt"":0,""rt"":0,""ru"":""https://www.mayoclinic.org/diseases-conditions/indigestion/symptoms-causes/syc-20352211"",""th"":160,""tu"":""https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcRa_Mk-gwxgTY41UVSVo_8BRWznToOOdPkUe_0c7KCMlplDklUNLkDXEn7F"",""tw"":129}Indigestion is often a sign of an underlying problem, such as gastroesophageal reflux disease (GERD), ulcers, or gallbladder disease, rather than a condition of its own. Also called dyspepsia, it is defined as a persistent or recurrent pain or discomfort in the upper abdomen.Sep 4, 2016Indigestion Symptoms, Causes, Diet, Treatments, & More - WebMDhttps://www.webmd.com/heartburn-gerd/indigestion-overview",,,,,,,,b'',,b''_nan
freq,,12594,12594,12594,,27,12594,668,668,668,,5109,,,,231,,507,12594,,,57,62,774,774,98,,8587,44,66,20,,,,,,,,774,,774
mean,352.3750198507226,,,,1.0,,,,,,0.0,,4.0199301254565665,66199.09718913768,0.5657859584161035,,17.267746545974273,,,0.0,6297.5,,,,,,4.8396061616642845,,,,,1.0,1.0,1.0,1.0,1.0,352.3750198507226,18.539701445132604,,,
std,223.07866012528189,,,,0.0,,,,,,0.0,,2.0296382029058537,44535.97306391768,0.20757740394213317,,4.442090204095735,,,0.0,3635.7189797892797,,,,,,3.4217553663157125,,,,,0.0,,0.0,0.0,0.0,223.07866012528189,11.408962643179192,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,19328.0,0.11503811503799999,,8.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,160.0,,,,1.0,,,,,,0.0,,2.0,20541.0,0.407993539429,,13.0,,,0.0,3149.25,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,160.0,9.0,,,
50%,329.0,,,,1.0,,,,,,0.0,,5.0,100667.0,0.5942523136869999,,17.0,,,0.0,6297.5,,,,,,4.0,,,,,1.0,1.0,1.0,1.0,1.0,329.0,17.0,,,
75%,542.0,,,,1.0,,,,,,0.0,,6.0,105763.0,0.7415115005480001,,21.0,,,0.0,9445.75,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,1.0,542.0,28.0,,,
max,782.0,,,,1.0,,,,,,0.0,,6.0,123453.0,0.864731795802,,27.0,,,0.0,12594.0,,,,,,14.0,,,,,1.0,1.0,1.0,1.0,1.0,782.0,40.0,,,
