,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_top_three_domain_frac_www.childrensplace.com,380,380,0.008,0.002,4.5,rural
1,*results_top_three_domain_frac_www.target.com,380,380,0.018,0.007,2.62,rural
2,**results_top_three_domain_frac_MapsLocations,380,380,0.05,0.096,1.91,urban
3,*results_top_three_domain_frac_NewsCarousel,380,380,0.206,0.178,1.16,rural
4,*results_top_three_domain_frac_MapsPlaces,380,380,0.0,0.006,inf,urban
5,*results_top_three_domain_frac_paywizard.org,266,494,0.0,0.004,inf,high-income
6,*results_top_three_domain_frac_MapsLocations,266,494,0.055,0.082,1.49,high-income
7,*results_top_three_domain_frac_MapsPlaces,266,494,0.0,0.005,inf,high-income
8,*results_top_three_domain_frac_www.target.com,342,418,0.019,0.008,2.32,GOP
9,**results_top_three_domain_frac_MapsLocations,342,418,0.05,0.092,1.84,DEM
10,*results_top_three_domain_frac_NewsCarousel,342,418,0.207,0.18,1.15,GOP
11,*results_top_three_domain_frac_MapsPlaces,342,418,0.0,0.006,inf,DEM
12,*top_ads_top_three_domain_frac_www.amnestyusa.org,165,151,0.01,0.0,inf,rural
13,*top_ads_top_three_domain_frac_www.amnestyusa.org,148,168,0.011,0.0,inf,GOP
