,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,1045.0,1045,1045,1045,1045.0,1045,1045,1045,1045,1045,1045.0,1045,1045.0,1045.0,1045.0,1045,1045.0,1045,1045,1045.0,1045.0,981,941,1045,1045,935,1045.0,1045,78,124,38,4.0,0.0,16.0,21.0,38.0,1045.0,1045.0,1045,0.0,1045
unique,,1,1,1,,59,1,2,2,2,,3,,,,59,,30,1,,,532,520,448,261,449,,8,33,69,22,,0.0,,,,,,256,0.0,256
top,,successful,google,selenium,,2018-01-08 02:21:10.843687,localhost,44.109601,-73.778431,"12943, Keene Valley, NY",,top_loans,,,,"About 3,780,000 results (0.42 seconds) ",,student loan,,,,Progressive: Ranked One Of The Best Insurance Companies,Get insurance online from Progressive. Join today for quality protection that 4 out of 5 would recommend. Get insurance for just about anything you need.,,b'',www.progressive.com/,,results," Rating: 8.9/10 - ?4,182 reviews",28% price drop,"People also askWhat are the flu symptoms for 2017?Flu vs. Influenza-Like Illness (ILI)Fever.Cough and sore throat.Runny or stuffy nose.Muscle or body aches and chills.Headaches.Fatigue.'Flu-Like' Illnesses Spread Misery Nationwide - WebMDhttps://www.webmd.com/cold-and-flu/news/20170314/flulike-illnessesSearch for: What are the flu symptoms for 2017?What do you fo when you have the flu?If you're otherwise fit and healthy, there's usually no need to see a doctor if you have flu-like symptoms. The best remedy is to rest at home, keep warm and drink plenty of water to avoid dehydration. You can take paracetamol or ibuprofen to lower a high temperature and relieve aches if necessary.Flu - NHS Choiceswww.nhs.uk/conditions/flu/Pages/Introduction.aspxSearch for: What do you fo when you have the flu?How long does flu last in adults?As harsh as the flu can be, the good news is that most people feel much better within one to two weeks. Most healthy adults become contagious the day before symptoms develop (which makes it trickier to prevent from spreading). They remain infectious for up to five to seven days after symptoms appear.How Long Does the Flu Last and What Is It, Exactly? - Vickshttps://vicks.com/en-us/treatments/how-to-treat-the-flu/how-long-does-the-flu-lastSearch for: How long does flu last in adults?What are the signs of the flu in adults?People who have the flu often feel some or all of these symptoms:Fever* or feeling feverish/chills.Cough.Sore throat.Runny or stuffy nose.Muscle or body aches.Headaches.Fatigue (tiredness)Some people may have vomiting and diarrhea, though this is more common in children than adults.Flu Symptoms & Complications | Seasonal Influenza (Flu) | CDChttps://www.cdc.gov/flu/about/disease/complications.htmSearch for: What are the signs of the flu in adults?",,,,,,,,b'',,b''_nan
freq,,1045,1045,1045,,30,1045,537,537,537,,401,,,,30,,60,1045,,,5,5,63,63,10,,631,4,4,2,,,,,,,,63,,63
mean,28.467942583732057,,,,1.0,,,,,,0.0,,6.0,42035.55406698565,0.29003629494306393,,19.220095693779903,,,0.0,523.0,,,,,,4.504306220095693,,,,,1.0,,1.0,1.0,1.0,28.467942583732057,14.615311004784688,,,
std,16.847586320428395,,,,0.0,,,,,,0.0,,0.0,11029.531049532488,0.16280204358743589,,5.202727142819851,,,0.0,301.8098187048703,,,,,,3.3142023742378597,,,,,0.0,,0.0,0.0,0.0,16.847586320428395,8.599171027493286,,,
min,1.0,,,,1.0,,,,,,0.0,,6.0,30701.0,0.122731941116,,9.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
25%,14.0,,,,1.0,,,,,,0.0,,6.0,30701.0,0.122731941116,,16.0,,,0.0,262.0,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,14.0,7.0,,,
50%,28.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,19.0,,,0.0,523.0,,,,,,3.0,,,,,1.0,,1.0,1.0,1.0,28.0,14.0,,,
75%,43.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,23.0,,,0.0,784.0,,,,,,7.0,,,,,1.0,,1.0,1.0,1.0,43.0,22.0,,,
max,59.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,30.0,,,0.0,1045.0,,,,,,13.0,,,,,1.0,,1.0,1.0,1.0,59.0,30.0,,,
