,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,12520.0,12520,12520,12520,12520.0,12520,12520,12520,12520,12520,12520.0,12520,12520.0,12520.0,12520.0,12520,12520.0,12520,12520,12520.0,12520.0,11723,11280,12520,12520,11562,12520.0,12520,1036,1040,756,89.0,1.0,181.0,162.0,756.0,12520.0,12520.0,12520,0.0,12520
unique,,1,1,1,,786,1,20,20,20,,3,,,,496,,40,1,,,1689,1494,1129,493,1010,,9,58,115,80,,,,,,,,476,0.0,476
top,,successful,google,selenium,,2018-01-13 08:55:39.262989,localhost,33.542686,-84.355573,"30236, Jonesboro, GA",,med_sample_first_20,,,,0,,loan,,,,"Salivary Gland Stones: Symptoms, Causes, and Treatment - WebMD",Personal Loans For Good Credit From Marcus by Goldman Sachs® - Apply Today!,,b'',www.progressive.com/,,results," Rating: 9.3/10 - ?21,075 reviews",progressive.com,"health.clevelandclinic.org{""cb"":18,""clt"":""n"",""cr"":12,""ct"":15,""id"":""P9G6KLrFEOAu3M:"",""ml"":{""0"":{""bh"":160,""bw"":203}},""oh"":450,""ou"":""https://2rdnmg1qbg403gumla1v9i2h-wpengine.netdna-ssl.com/wp-content/uploads/sites/3/2017/01/HeartRate-650x450.jpg"",""ow"":650,""pt"":""https://2rdnmg1qbg403gumla1v9i2h-wpengine.netdna-s..."",""rh"":""health.clevelandclinic.org"",""rid"":""IZ8l8u3trJREFM"",""rmt"":0,""rt"":0,""ru"":""https://health.clevelandclinic.org/2017/02/is-a-slow-heart-rate-good-or-bad-for-you/"",""th"":160,""tu"":""https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcT-abSvLJ29eLjcOIgwxLikh2Cv0Td4y2KTY2wnZTFiBT_NKqT3xcc25vnK"",""tw"":231}60 times a minuteHaving bradycardia (say ""bray-dee-KAR-dee-uh"") means that your heart beats very slowly. For most people, a heart rate of 60 to 100 beats a minute while at rest is considered normal. If your heart beats less than 60 times a minute, it is slower than normal. A slow heart rate can be normal and healthy.Bradycardia (Slow Heart Rate) Symptoms, Causes, and Treatmenthttps://www.webmd.com/heart-disease/tc/bradycardia-slow-heart-rate-overview",,,,,,,,b'',,b''_nan
freq,,12520,12520,12520,,27,12520,666,666,666,,5174,,,,243,,491,12520,,,58,56,627,627,97,,8651,52,40,20,,,,,,,,627,,627
mean,355.9716453674121,,,,1.0,,,,,,0.0,,3.8935303514376995,50528.52284345048,0.47433483191049686,,17.15926517571885,,,0.0,6260.5,,,,,,4.8809904153354635,,,,,1.0,1.0,1.0,1.0,1.0,355.9716453674121,18.57076677316294,,,
std,225.0569770912762,,,,0.0,,,,,,0.0,,2.173169947770264,17278.25752977472,0.41319559223618585,,4.601270807694363,,,0.0,3614.35701981233,,,,,,3.4370478385940313,,,,,0.0,,0.0,0.0,0.0,225.0569770912762,11.443569897862648,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,20743.0,0.0314465408805,,9.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,163.0,,,,1.0,,,,,,0.0,,1.0,35980.0,0.049414824447300006,,12.0,,,0.0,3130.75,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,163.0,9.0,,,
50%,331.0,,,,1.0,,,,,,0.0,,5.0,47279.0,0.8506432381550001,,17.0,,,0.0,6260.5,,,,,,4.0,,,,,1.0,1.0,1.0,1.0,1.0,331.0,17.0,,,
75%,548.0,,,,1.0,,,,,,0.0,,6.0,67303.0,0.871675504931,,21.0,,,0.0,9390.25,,,,,,8.0,,,,,1.0,1.0,1.0,1.0,1.0,548.0,28.0,,,
max,786.0,,,,1.0,,,,,,0.0,,6.0,81294.0,0.928465918822,,27.0,,,0.0,12520.0,,,,,,14.0,,,,,1.0,1.0,1.0,1.0,1.0,786.0,40.0,,,
